"","OBJECTID","POA_CODE_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"1",1,"0800","0800",3.1734
"2",2,"0810","0810",23.7902
"3",3,"0812","0812",35.8899
"4",4,"0815","0815",0.6381
"5",5,"0820","0820",39.0462
"6",6,"0822","0822",150783
"7",7,"0828","0828",28.6532
"8",8,"0829","0829",44.8402
"9",9,"0830","0830",235.004
"10",10,"0832","0832",19.7272
"11",11,"0834","0834",32.6301
"12",12,"0835","0835",76.8403
"13",13,"0836","0836",130.93
"14",14,"0837","0837",118.116
"15",15,"0838","0838",86.3366
"16",16,"0839","0839",1.1346
"17",17,"0840","0840",291.448
"18",18,"0841","0841",142.206
"19",19,"0845","0845",115.696
"20",20,"0846","0846",146.738
"21",21,"0847","0847",402.052
"22",22,"0850","0850",551.151
"23",23,"0852","0852",441673
"24",24,"0853","0853",106.285
"25",25,"0854","0854",12.5633
"26",26,"0860","0860",42.0605
"27",27,"0862","0862",117526
"28",28,"0870","0870",59.6122
"29",29,"0872","0872",970497
"30",30,"0873","0873",172.525
"31",31,"0874","0874",72.1518
"32",32,"0875","0875",29.0124
"33",33,"0880","0880",88.9707
"34",34,"0885","0885",2.7429
"35",35,"0886","0886",13.5083
"36",36,"2000","2000",4.2873
"37",37,"2006","2006",0.678
"38",38,"2007","2007",0.5588
"39",39,"2008","2008",0.845
"40",40,"2009","2009",0.9325
"41",41,"2010","2010",2.1733
"42",42,"2011","2011",1.4009
"43",43,"2015","2015",4.2156
"44",44,"2016","2016",1.1717
"45",45,"2017","2017",1.9386
"46",46,"2018","2018",3.9305
"47",47,"2019","2019",6.7991
"48",48,"2020","2020",11.9607
"49",49,"2021","2021",5.7186
"50",50,"2022","2022",1.9227
"51",51,"2023","2023",2.3732
"52",52,"2024","2024",1.9245
"53",53,"2025","2025",1.2307
"54",54,"2026","2026",3.6555
"55",55,"2027","2027",1.3761
"56",56,"2028","2028",0.7921
"57",57,"2029","2029",2.5285
"58",58,"2030","2030",4.663
"59",59,"2031","2031",6.0941
"60",60,"2032","2032",2.475
"61",61,"2033","2033",2.2349
"62",62,"2034","2034",3.0497
"63",63,"2035","2035",8.1207
"64",64,"2036","2036",15.7133
"65",65,"2037","2037",2.1373
"66",66,"2038","2038",1.4931
"67",67,"2039","2039",1.8337
"68",68,"2040","2040",4.754
"69",69,"2041","2041",2.4666
"70",70,"2042","2042",2.0445
"71",71,"2043","2043",0.8077
"72",72,"2044","2044",3.8539
"73",73,"2045","2045",2.3828
"74",74,"2046","2046",6.0148
"75",75,"2047","2047",2.3101
"76",76,"2048","2048",1.218
"77",77,"2049","2049",1.929
"78",78,"2050","2050",0.8252
"79",79,"2052","2052",0.4341
"80",80,"2060","2060",2.6878
"81",81,"2061","2061",0.6317
"82",82,"2062","2062",1.5527
"83",83,"2063","2063",2.7281
"84",84,"2064","2064",2.5348
"85",85,"2065","2065",5.6761
"86",86,"2066","2066",9.579
"87",87,"2067","2067",5.8197
"88",88,"2068","2068",5.6655
"89",89,"2069","2069",7.5303
"90",90,"2070","2070",7.4617
"91",91,"2071","2071",7.822
"92",92,"2072","2072",3.8097
"93",93,"2073","2073",10.2304
"94",94,"2074","2074",22.0151
"95",95,"2075","2075",17.7427
"96",96,"2076","2076",15.8484
"97",97,"2077","2077",22.8665
"98",98,"2079","2079",11.0622
"99",99,"2080","2080",10.5767
"100",100,"2081","2081",40.1939
"101",101,"2082","2082",9.6876
"102",102,"2083","2083",45.774
"103",103,"2084","2084",107.373
"104",104,"2085","2085",16.2026
"105",105,"2086","2086",8.0259
"106",106,"2087","2087",8.9311
"107",107,"2088","2088",8.6503
"108",108,"2089","2089",1.5105
"109",109,"2090","2090",2.0586
"110",110,"2092","2092",3.1079
"111",111,"2093","2093",7.529
"112",112,"2094","2094",1.1683
"113",113,"2095","2095",5.5668
"114",114,"2096","2096",3.4809
"115",115,"2097","2097",4.7261
"116",116,"2099","2099",12.2704
"117",117,"2100","2100",19.8084
"118",118,"2101","2101",26.6961
"119",119,"2102","2102",4.1945
"120",120,"2103","2103",4.5559
"121",121,"2104","2104",3.7398
"122",122,"2105","2105",2.1888
"123",123,"2106","2106",3.8119
"124",124,"2107","2107",7.8757
"125",125,"2108","2108",2.9542
"126",126,"2109","2109",1.755
"127",127,"2110","2110",4.3304
"128",128,"2111","2111",4.7044
"129",129,"2112","2112",9.3136
"130",130,"2113","2113",11.461
"131",131,"2114","2114",7.3639
"132",132,"2115","2115",3.9346
"133",133,"2116","2116",3.7996
"134",134,"2117","2117",7.1247
"135",135,"2118","2118",8.507
"136",136,"2119","2119",6.7407
"137",137,"2120","2120",13.8138
"138",138,"2121","2121",9.2013
"139",139,"2122","2122",9.0577
"140",140,"2123","2123",0.0218
"141",141,"2125","2125",9.2916
"142",142,"2126","2126",8.2603
"143",143,"2127","2127",8.1291
"144",144,"2128","2128",2.7
"145",145,"2129","2129",0.4663
"146",146,"2130","2130",1.2031
"147",147,"2131","2131",3.4143
"148",148,"2132","2132",2.4354
"149",149,"2133","2133",2.5503
"150",150,"2134","2134",2.4454
"151",151,"2135","2135",6.5375
"152",152,"2136","2136",3.4638
"153",153,"2137","2137",7.355
"154",154,"2138","2138",3.3902
"155",155,"2139","2139",0.391
"156",156,"2140","2140",3.2826
"157",157,"2141","2141",11.9477
"158",158,"2142","2142",11.0016
"159",159,"2143","2143",4.3104
"160",160,"2144","2144",8.5637
"161",161,"2145","2145",26.3676
"162",162,"2146","2146",6.0077
"163",163,"2147","2147",15.9973
"164",164,"2148","2148",38.8818
"165",165,"2150","2150",5.8472
"166",166,"2151","2151",10.7334
"167",167,"2152","2152",4.2858
"168",168,"2153","2153",24.5421
"169",169,"2154","2154",18.8102
"170",170,"2155","2155",35.1795
"171",171,"2156","2156",62.9548
"172",172,"2157","2157",148.486
"173",173,"2158","2158",41.7948
"174",174,"2159","2159",127.446
"175",175,"2160","2160",8.3971
"176",176,"2161","2161",11.2311
"177",177,"2162","2162",5.7908
"178",178,"2163","2163",6.3533
"179",179,"2164","2164",20.5158
"180",180,"2165","2165",11.12
"181",181,"2166","2166",15.2543
"182",182,"2167","2167",6.9946
"183",183,"2168","2168",12.8684
"184",184,"2170","2170",54.3191
"185",185,"2171","2171",21.5329
"186",186,"2172","2172",3.6787
"187",187,"2173","2173",192.868
"188",188,"2174","2174",6.0563
"189",189,"2175","2175",21.9683
"190",190,"2176","2176",19.8467
"191",191,"2177","2177",5.1959
"192",192,"2178","2178",54.3241
"193",193,"2179","2179",36.4744
"194",194,"2190","2190",9.7386
"195",195,"2191","2191",1.7826
"196",196,"2192","2192",2.7309
"197",197,"2193","2193",4.1959
"198",198,"2194","2194",3.3734
"199",199,"2195","2195",3.5488
"200",200,"2196","2196",7.0679
"201",201,"2197","2197",2.9286
"202",202,"2198","2198",3.3233
"203",203,"2199","2199",4.618
"204",204,"2200","2200",14.1069
"205",205,"2203","2203",2.0929
"206",206,"2204","2204",5.7903
"207",207,"2205","2205",4.2229
"208",208,"2206","2206",5.9786
"209",209,"2207","2207",7.2242
"210",210,"2208","2208",4.459
"211",211,"2209","2209",4.2499
"212",212,"2210","2210",11.0967
"213",213,"2211","2211",7.4064
"214",214,"2212","2212",6.2455
"215",215,"2213","2213",10.037
"216",216,"2214","2214",5.3711
"217",217,"2216","2216",5.5782
"218",218,"2217","2217",6.2613
"219",219,"2218","2218",2.6489
"220",220,"2219","2219",3.7807
"221",221,"2220","2220",5.1734
"222",222,"2221","2221",5.3879
"223",223,"2222","2222",2.5163
"224",224,"2223","2223",7.253
"225",225,"2224","2224",4.7012
"226",226,"2225","2225",2.1022
"227",227,"2226","2226",5.2222
"228",228,"2227","2227",4.5993
"229",229,"2228","2228",5.914
"230",230,"2229","2229",10.8128
"231",231,"2230","2230",9.1909
"232",232,"2231","2231",19.1994
"233",233,"2232","2232",14.4108
"234",234,"2233","2233",179.988
"235",235,"2234","2234",39.7249
"236",236,"2250","2250",690.928
"237",237,"2251","2251",50.8904
"238",238,"2256","2256",72.799
"239",239,"2257","2257",22.411
"240",240,"2258","2258",121.257
"241",241,"2259","2259",524.735
"242",242,"2260","2260",23.2489
"243",243,"2261","2261",51.4591
"244",244,"2262","2262",33.7953
"245",245,"2263","2263",22.3942
"246",246,"2264","2264",115.194
"247",247,"2265","2265",136.002
"248",248,"2267","2267",3.6556
"249",249,"2278","2278",44.0603
"250",250,"2280","2280",27.9287
"251",251,"2281","2281",30.9079
"252",252,"2282","2282",10.5223
"253",253,"2283","2283",60.2462
"254",254,"2284","2284",24.2726
"255",255,"2285","2285",32.4611
"256",256,"2286","2286",25.2353
"257",257,"2287","2287",38.0741
"258",258,"2289","2289",11.4331
