"","poa","sed_indx","sed_dec","sead_indx","sead_dec","er_indx","er_dec","eo_indx","eo_dec","population","excluded"
"1",800,1066,9,1096,10,946,2,1089,9,6464,FALSE
"2",810,1037,8,1052,9,1014,6,1045,8,33302,FALSE
"3",812,1013,6,1020,7,1013,6,997,6,18873,FALSE
"4",815,1075,9,1096,10,1075,9,1096,9,292,FALSE
"5",820,1073,9,1094,10,1011,6,1085,9,19447,FALSE
"6",822,650,1,754,1,658,1,880,1,25560,FALSE
"7",828,970,4,979,5,942,2,993,6,1201,FALSE
"8",829,972,4,983,5,984,4,918,2,1839,FALSE
"9",830,989,5,997,6,990,5,967,5,18207,FALSE
"10",832,1071,9,1075,9,1060,9,1006,7,15570,FALSE
"11",834,1053,8,1052,9,1087,10,998,6,1836,FALSE
"12",835,1072,9,1070,9,1120,10,1000,6,5132,FALSE
"13",836,1049,8,1055,9,1114,10,969,5,7756,FALSE
"14",837,1001,6,989,6,1043,8,926,3,412,FALSE
"15",838,1044,8,1035,8,1067,9,987,6,818,FALSE
"16",839,993,5,965,4,917,1,907,2,548,FALSE
"17",840,871,1,872,1,919,1,880,1,363,FALSE
"18",841,973,4,968,5,1036,8,919,2,696,FALSE
"19",845,851,1,875,1,826,1,970,5,507,FALSE
"20",846,833,1,844,1,865,1,860,1,353,FALSE
"21",847,791,1,830,1,777,1,900,2,328,FALSE
"22",850,969,4,975,5,940,2,1010,7,8138,FALSE
"23",852,628,1,733,1,649,1,870,1,8299,FALSE
"24",853,1143,10,1081,9,1013,6,1045,8,857,FALSE
"25",854,718,1,784,1,651,1,894,1,871,FALSE
"26",860,857,1,891,1,828,1,969,5,2991,FALSE
"27",862,742,1,789,1,735,1,821,1,765,FALSE
"28",870,1019,7,1024,8,988,5,1036,8,19628,FALSE
"29",872,565,1,690,1,584,1,841,1,15469,FALSE
"30",873,870,1,913,2,913,1,942,3,2436,FALSE
"31",874,1117,10,1110,10,1001,5,1129,10,553,FALSE
"32",875,972,4,977,5,943,2,1005,7,2371,FALSE
"33",880,895,1,934,3,818,1,997,6,5214,FALSE
"34",885,1092,10,1076,9,990,5,1077,9,873,FALSE
"35",886,1024,7,1010,7,921,1,1037,8,1081,FALSE
"36",2000,977,4,1065,9,804,1,1128,10,27411,FALSE
"37",2007,945,3,1033,8,737,1,1125,10,8845,FALSE
"38",2008,1001,6,1085,9,784,1,1175,10,11712,FALSE
"39",2009,1049,8,1113,10,919,1,1148,10,12813,FALSE
"40",2010,1047,8,1116,10,905,1,1158,10,27734,FALSE
"41",2011,1049,8,1104,10,886,1,1162,10,21196,FALSE
"42",2015,1097,10,1148,10,996,5,1163,10,9918,FALSE
"43",2016,993,5,1063,9,890,1,1105,9,13213,FALSE
"44",2017,992,5,1069,9,853,1,1138,10,24695,FALSE
"45",2018,990,5,1022,7,945,2,1038,8,17028,FALSE
"46",2019,1047,8,1068,9,1036,8,1045,8,10838,FALSE
"47",2020,1037,8,1073,9,968,3,1067,9,14772,FALSE
"48",2021,1108,10,1161,10,1016,6,1189,10,15313,FALSE
"49",2022,1075,9,1126,10,990,5,1154,10,12507,FALSE
"50",2023,1121,10,1171,10,1084,10,1186,10,10716,FALSE
"51",2024,1097,10,1146,10,1048,8,1163,10,11073,FALSE
"52",2025,1112,10,1163,10,1052,8,1194,10,7405,FALSE
"53",2026,1089,10,1140,10,989,5,1161,10,32490,FALSE
"54",2027,1115,10,1162,10,1022,7,1198,10,8195,FALSE
"55",2028,1108,10,1160,10,1015,6,1195,10,4642,FALSE
"56",2029,1104,10,1147,10,1043,8,1169,10,9961,FALSE
"57",2030,1119,10,1167,10,1120,10,1180,10,14079,FALSE
"58",2031,1090,10,1137,10,1007,6,1158,10,34726,FALSE
"59",2032,981,4,1044,8,870,1,1105,9,16689,FALSE
"60",2033,1055,9,1106,10,946,2,1144,10,11570,FALSE
"61",2034,1074,9,1124,10,994,5,1146,10,20713,FALSE
"62",2035,1039,8,1076,9,997,5,1096,9,34490,FALSE
"63",2036,1014,6,1035,8,1001,5,1032,8,30407,FALSE
"64",2037,1023,7,1084,9,906,1,1149,10,16115,FALSE
"65",2038,1096,10,1145,10,1029,7,1173,10,9451,FALSE
"66",2039,1117,10,1171,10,1071,9,1188,10,8725,FALSE
"67",2040,1069,9,1121,10,1032,7,1147,10,22242,FALSE
"68",2041,1099,10,1154,10,1046,8,1188,10,15690,FALSE
"69",2042,1071,9,1123,10,953,2,1161,10,19129,FALSE
"70",2043,1099,10,1157,10,994,5,1181,10,8014,FALSE
"71",2044,1038,8,1077,9,1010,6,1083,9,7846,FALSE
"72",2045,1070,9,1103,10,1078,9,1107,10,6457,FALSE
"73",2046,1064,9,1100,10,1040,8,1106,9,26822,FALSE
"74",2047,1096,10,1137,10,1044,8,1151,10,11950,FALSE
"75",2048,1081,10,1128,10,1000,5,1160,10,7938,FALSE
"76",2049,1059,9,1102,10,985,4,1131,10,11282,FALSE
"77",2050,1078,9,1140,10,921,1,1206,10,8963,FALSE
"78",2052,1007,6,1081,9,899,1,1151,10,3425,FALSE
"79",2060,1108,10,1159,10,982,4,1201,10,13988,FALSE
"80",2061,1091,10,1152,10,959,3,1204,10,5943,FALSE
"81",2062,1110,10,1159,10,1040,8,1191,10,7006,FALSE
"82",2063,1133,10,1181,10,1139,10,1183,10,6347,FALSE
"83",2064,1071,9,1123,10,993,5,1156,10,9523,FALSE
"84",2065,1112,10,1163,10,1023,7,1190,10,30119,FALSE
